id,content,,
9.82793462922842E+017,"RT @mallardforva: I want to thank the students who organized the #MarchForOurLives Town Hall Meeting that was held in Onancock, Virginia.…",,
9.82793457801581E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82793444623049E+017,"RT @HelenBrosnan: \\""I'll kill you, bitch.\ ",,
,,,
,,,
9.82793415564906E+017,"RT @NathanLerner: This is the LAST DAY of our fundraising campaign before Text the Vote launches next week!

We want to keep the momentum f…",,
9.82793414872912E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82793412540846E+017,RT @fauxcin: #MarchForOurLives #NeverAgain #BoycottNRA #GunReformNow #BlueWaveIsComing https://t.co/te22DgPxL1,,
9.82793357972951E+017,"RT @mysteri00013322: #MarchForOurLives #NeverAgain #Enough

Blue girl, in a red compound and red state is marching thru the compound for ou…",,
9.82793297746735E+017,"RT @HelenBrosnan: \\""I'll kill you, bitch.\ ",,
,,,
,,,
9.8279328867038E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.8279327886841E+017,"RT @TomthunkitsMind: There are 5 Million NRA Members ...
BUT, there are 75.4 MILLION Millennials that are eligible to vote in 2018 &amp; 2020…",,
9.82793265861849E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82793265039757E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82793261071917E+017,RT @alexarizac23: Que en #Mexico ������������ y en #Puebla se ponga fin a la violencia e impunidad es #LoQueMasQuiero Basta Ya ✋������ #MarchForOurLives #…,,
9.82793235545383E+017,"RT @alexarizac23: Salarios justos, oportunidades laborales y educación de calidad, es #LoQueMasQuiero éntrale  #FelizSábado #24Mar #25marzo…",,
9.82793231221084E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82793187331924E+017,"RT @Emma4Change: The best signs at the #MarchForOurLives by Teen Vogue - tell me why im cryin in this car at 7:30 in the got dam morning
ht…",,
9.82793186081821E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.8279316701891E+017,"RT @realFireNunes: .@JanzforCongress speaking at the #marchforourlives #fresno 

That stiff off to right is #FlatDevin @DevinNunes 

@JoyAn…",,
9.82793147494224E+017,"RT @washdems: Great conversation between @DNC Deputy Chair Keith Ellison, WA State Dems Chair @Tinapo, and some of the Seattle students lea…",,
9.82793137109291E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82793122831741E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82793083476693E+017,RT @rvivian370: @RepDarrenSoto Gun Safety Town Hall in St. Cloud. @PBCDHC @RepDarrenSoto @YourBarrioFL @FDPMoneygirl @Liana_Guerra @hrc_orl…,,
9.82793079429018E+017,"RT @jesszen: Tom Sullivan says- “the powers that be will tell you you’re doing it wrong, that’s not how you make change.” Don’t believe the…",,
9.8279307010945E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82793066477248E+017,"RT @TheEllenShow: 11-year-old Naomi Wadler lit the internet up with her incredible speech at the #MarchForOurLives. Today she’s here, and I…",,
9.82793038253756E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82793035972071E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82792958133944E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82792948512211E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82792941071675E+017,"RT @DanWardVA07: This afternoon I had the privilege of participating in @TownHallVA7. It was student-organized and student-moderated, stude…",,
9.82792931546485E+017,"RT @exposes_racism: Is it me, or does #MarchForOurLives #NeverAgain senior @davidhogg111 look like he's reading off some script in this int…",,
9.82792924923597E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82792901326508E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.827928845744E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.82792872486494E+017,"RT @mallardforva: I want to thank the students who organized the #MarchForOurLives Town Hall Meeting that was held in Onancock, Virginia.…",,
9.82792868740952E+017,"RT @TomthunkitsMind: There are 5 Million NRA Members ...
BUT, there are 75.4 MILLION Millennials that are eligible to vote in 2018 &amp; 2020…",,
9.82792838155911E+017,"RT @ericswalwell: When our children are free from violence they are free to live. When they are free from fear, they are free to learn. And…",,
9.82792829347947E+017,"@Emma4Change
Protesting NRA auction at the Marriott in Oxnard, CA. 
#MarchForOurLives https://t.co/WjPtoIwjE0",,
9.82792777204462E+017,RT @HakimBe: @jjmacnab So...stricter vetting (stronger gun laws and vigilant enforcement) does save lives? No shit. *blink* #Enough #MarchF…,,
9.82792769520386E+017,"@SpeakerRyan 's empty chair at his town hall tells it all,  constituents chant \\""I can't see you.\\"" #VoteThemOut… https://t.co/rRDyFja144",,
9.82792756052546E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82792738985988E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82792683008574E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82792670065189E+017,"RT @TomthunkitsMind: There are 5 Million NRA Members ...
BUT, there are 75.4 MILLION Millennials that are eligible to vote in 2018 &amp; 2020…",,
9.82792639564206E+017,RT @FCalciu: @NobleMaN79 @Ihateyou4lfe @Jeff41008688 @freakynurse @TravisBates94 @Jane_S_Fouty @adamnoisewater @nowthisnews @abouttheburgh…,,
9.82792627287397E+017,RT @NathanSykes: Enough is enough. Change is necessary and changes can be made. Seeing what happened today is so moving and so powerful. #M…,,
9.82792528708632E+017,RT @TopRopeTravis: Perhaps this is why Trump and the NRA ammosexuals are so intimidated by Stoneman Douglas and #MarchForOurLives students.…,,
9.82792509247165E+017,"RT @mallardforva: I want to thank the students who organized the #MarchForOurLives Town Hall Meeting that was held in Onancock, Virginia.…",,
9.82792496118882E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82792483632501E+017,New Blog Post “Be The Change” https://t.co/7OVflWU6jp #Leadership #MarchForOurLives https://t.co/Uidxhvikcd,,
9.82792456474452E+017,"RT @TwitchyTeam: Instead of working on that edit button, Twitter CEO pushing #MarchForOurLives demands https://t.co/QVKvTp8DUq",,
9.82792453571805E+017,RT @TedDeutch: #FlashbackFriday to chatting with Kyle Laman the night before the #MarchForOurLives.  Kyle is a hero. He helped identify the…,,
9.8279245138663E+017,RT @SaysHummingbird: .@dloesch just BLOCKED me because of my tweet saying she is as hazardous as TOXIC WASTE. I still fully believe in that…,,
9.8279242847309E+017,"@nowthisnews @EricIdle Well done USA, you’re finally beginning to make a tiny bit of progress in addressing the mad… https://t.co/uApMJkKxDu",,
9.82792377743106E+017,RT @chetcutick: Live Stream of the Staten Island March for Our Lives Town Hall is now live on YouTube at https://t.co/Nyj0mGLvDG  #MarchFor…,,
9.8279234899952E+017,"RT @MaiddeOrleans: #MarchForOurLives Town Hall  #BrevardCounty FL 
Our #BlueWave2018 Candidate was there! @votesanjaypatel https://t.co/Ftg…",,
9.82792220729364E+017,"RT @TheJordanRachel: After hearing about the Muenster attack, the only logical way to handle this is to raise the driving age to 21... or t…",,
9.82792203415192E+017,"NEW VIDEO! March for Our Lives Vlog! #Marchforourlives

https://t.co/upeinVyRYe",,
9.82792194217083E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.8279217599708E+017,"RT @mallardforva: I want to thank the students who organized the #MarchForOurLives Town Hall Meeting that was held in Onancock, Virginia.…",,
9.82792166505247E+017,RT @Ryan_Deitsch: The school to prison pipeline cannot continue to follow current trends as SROs gain an increased demand in American schoo…,,
9.82792154610323E+017,"RT @ericswalwell: When our children are free from violence they are free to live. When they are free from fear, they are free to learn. And…",,
9.82792137166254E+017,@riyasharma266 ‘He wouldn’t have killed so many people with a BIKE!’ #GermanyAttack @Emma4Change @davidhogg111… https://t.co/ClNOaeDTOz,,
9.82792122645537E+017,@TroyRiser @PshrinkEmeritus @SteveWoodsmall ok������troy, Do you really believe the stoneman douglas masscure [survivors… https://t.co/WSNHxb3ZIj,
9.82792096951259E+017,"RT @TomthunkitsMind: There are 5 Million NRA Members ...
BUT, there are 75.4 MILLION Millennials that are eligible to vote in 2018 &amp; 2020…",,
9.82792065535939E+017,"It may be too late for the dinosaurs but we still need to keep up the
#MarchForOurLives https://t.co/8Xpo2zHKWA",,
9.82792060120875E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82792047357768E+017,"RT @OFA_TX: On Saturday, thousands of people all across #Texas will take part in the #MarchForOurLives. Find your local event, and make you…",,
9.82792039514309E+017,"RT @RadioFreeBR: .@JPaps_ thanks @MaxRose4NY, @mdevitojr and Mohan for publically supporting the busses that @MFOLNY sent with students fro…",,
9.8279203664547E+017,RT @OFA_TX: #Texas: It's time to demand action to #EndGunViolence in America. Find your local #MarchForOurLives and join the movement TOMOR…,,
9.82792008191398E+017,"RT @OFA_TX: Here's a handy #MarchForOurLives checklist for tomorrow:
✔️ Find a march near you: https://t.co/OfH460yeTL
✔️ Make sure you're…",,
9.82792005003743E+017,"RT @ericswalwell: When our children are free from violence they are free to live. When they are free from fear, they are free to learn. And…",,
9.82791974834066E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.8279191750219E+017,"RT @OFA_TX: Inspired by #MarchForOurLives? Keep building on this moment by not only fighting for gun reform now, but also committing to ele…",,
9.82791870240588E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82791864054174E+017,"RT @AynRandPaulRyan: This South Carolina US Representative, @RalphNorman, took out a loaded handgun at a meeting with @MomsDemand today.…",,
9.82791838464659E+017,"RT @Ryan_Deitsch: Today I’m late to class:

-A police officer treated me as a criminal for a crime I didn’t commit

-A teacher treated me a…",,
9.8279183469405E+017,"RT @Ryan_Deitsch: Happy Saturday!

We live in a world that can destroy itself in less time than it takes to fix a severed carotid artery.…",,
9.82791826678612E+017,RT @time4kind: GR8 public-service ad by military folk against civilians having military-style rifles like the AR-15. Truly excellent &amp, utte…,
9.82791803706355E+017,"RT @realFireNunes: .@JanzforCongress speaking at the #marchforourlives #fresno 

That stiff off to right is #FlatDevin @DevinNunes 

@JoyAn…",,
9.82791800556486E+017,RT @fEight_gmx: #TheResistance is #StrongerTogether.  Support your local Democratic incumbents and ballot hopefuls.  The #BlueTsunami is co…,,
9.82791788451811E+017,"RT @DanWardVA07: This afternoon I had the privilege of participating in @TownHallVA7. It was student-organized and student-moderated, stude…",,
9.82791726426358E+017,"RT @ScottRechler: Freedom isn't free when our children are unable to go to school, a concert, church, or the mall, without the fear of bein…",,
